financebench_id,company,doc_name,question,gold_answer,pred_answer,correct,category,calculator_used,verified,retry_done
financebench_id_03029,3M,3M_2018_10K,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,$1577.00,"$1,577M",True,numerical,False,True,False
financebench_id_04672,3M,3M_2018_10K,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,$8.70,"$8,738M",False,numerical,False,True,False
financebench_id_00499,3M,3M_2022_10K,Is 3M a capital-intensive business based on FY2022 data?,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPEX/Revenue Ratio: 5.1%
Fixed assets/Total Assets: 20%
Return on Assets= 12.4%","Yes
3M is a capital-intensive business with a capital intensity ratio of 1.358.",False,yes_no,False,False,False
financebench_id_01226,3M,3M_2022_10K,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.","Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off charges including Combat Arms Earplugs litigation, impairment related to exiting PFAS manufacturing, costs related to exiting Russia and divestiture-related restructuring
charges","The increase in SG&A expenses as a percentage of sales, primarily due to special item costs and other expenses, likely negatively impacted the operating margin, which is a useful metric for 3M. The",True,descriptive,False,False,False
financebench_id_01865,3M,3M_2022_10K,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",The consumer segment shrunk by 0.9% organically.,"The Consumer segment had a total sales change of (3.9)% and (2.6)% when excluding divestitures, indicating it dragged down 3M's overall growth in 2022. This is according to the 3M_2022_10K.",False,descriptive,False,False,False
financebench_id_00807,3M,3M_2023Q2_10Q,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark","Yes
3M has a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023, with a calculated quick ratio of 1.39.",True,yes_no,False,False,False
financebench_id_00941,3M,3M_2023Q2_10Q,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes due 2026 (Trading Symbol: MMM26)
-1.750% Notes due 2030 (Trading Symbol: MMM30)
-1.500% Notes due 2031 (Trading Symbol: MMM31)","According to the 3M_2023Q2_10Q, 3M has three debt securities registered to trade on the New York Stock Exchange, with trading symbols MMM26, MMM30, and MMM31, as of Q2 of 2023. (Source: 3M | 3M_2023Q2_10Q | Type: auto)",True,descriptive,False,False,False
financebench_id_01858,3M,3M_2023Q2_10Q,Does 3M maintain a stable trend of dividend distribution?,"Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for consecutive 65 years","Yes
3M has maintained a stable trend of dividend distribution for 65 consecutive years.",True,yes_no,False,False,False
financebench_id_02987,Activision Blizzard,ACTIVISIONBLIZZARD_2019_10K,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.,24.26,24.24,True,numerical,False,False,False
financebench_id_07966,Activision Blizzard,ACTIVISIONBLIZZARD_2019_10K,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,1.9%,134.0000,False,numerical,True,True,False
financebench_id_04735,Adobe,ADOBE_2015_10K,You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.,0.66,"10,670.36",False,numerical,True,False,False
financebench_id_07507,Adobe,ADOBE_2016_10K,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,65.4%,1.3456,False,numerical,True,False,False
financebench_id_03856,Adobe,ADOBE_2017_10K,What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places. Please utilize information provided primarily within the balance sheet and the cash flow statement.,0.83,0.8258,True,numerical,True,False,False
financebench_id_00438,Adobe,ADOBE_2022_10K,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",No the operating margins of Adobe have recently declined from 36.8% in FY 2021 to 34.6% in FY2022. A drop by 2.2% in a year.,"No
Adobe's operating margin as of FY2022 is 34.7%.",False,yes_no,False,False,False
financebench_id_00591,Adobe,ADOBE_2022_10K,Does Adobe have an improving Free cashflow conversion as of FY2022?,"Yes, the FCF conversion (using net income as the denominator) for Adobe has improved by ~13% from 143% in 2021 to 156% in 2022","Yes. Adobe's Free Cash Flow conversion ratio improved from 1.64 in FY2022, indicating that the company is able to convert a higher proportion of its net income into free cash flow.",False,yes_no,False,False,False
financebench_id_01319,AES Corporation,AES_2022_10K,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,0,$186,False,numerical,False,True,False
financebench_id_00540,AES Corporation,AES_2022_10K,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,AES has converted inventory 9.5 times in FY 2022.,"The inventory turnover ratio cannot be calculated due to missing beginning inventory data, making conventional inventory management not meaningful for AES Corporation in FY2022.",False,descriptive,False,False,False
